No,sms
26,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol
87,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.
151,Sindu got job in birla soft ..
215,Yup... How ü noe leh...
279,"Awesome, I'll see you in a bit"
343,I take it the post has come then! You must have 1000s of texts now! Happy reading. My one from wiv hello caroline at the end is my favourite. Bless him
386,"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX"
406,"Yep, the great loxahatchee xmas tree burning of  &lt;#&gt;  starts in an hour"
466,Ok i am on the way to railway
534,Gudnite....tc...practice going on
600,Will do. Was exhausted on train this morning. Too much wine and pie. You sleep well too
662,"Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... '"
725,Ya even those cookies have jelly on them
785,You have an important customer service announcement from PREMIER. Call FREEPHONE 0800 542 0578 now!
794,Y?WHERE U AT DOGBREATH? ITS JUST SOUNDING LIKE JAN C THAT’S AL!!!!!!!!!
866,Dude ive been seeing a lotta corvettes lately
935,What time you think you'll have it? Need to know when I should be near campus
996,"I can't, I don't have her number!"
1057,I'm at work. Please call
1123,Do you want 750 anytime any network mins 150 text and a NEW video phone for only five pounds per week call 08000776320 now or reply for delivery Tomorrow
1125,Good morning princess! How are you?
1185,Am i that much bad to avoid like this?
1255,Mum say we wan to go then go... Then she can shun bian watch da glass exhibition... 
1317,"Whenevr ur sad, Whenevr ur gray, Remembr im here 2 listn 2 watevr u wanna say, Jus walk wid me a little while,&amp; I promise I'll bring back ur smile.:-)"
1380,"Ya tel, wats ur problem.."
1438,"I jus hope its true that  missin me cos i'm really missin him! You haven't done anything to feel guilty about, yet."
1502,Host-based IDPS for linux systems.
1566,Tmrw. Im finishing 9 doors
1614,RT-KIng Pro Video Club>> Need help? info@ringtoneking.co.uk or call 08701237397 You must be 16+ Club credits redeemable at www.ringtoneking.co.uk! Enjoy!
1634,Hello my little party animal! I just thought I'd buzz you as you were with your friends ...*grins*... Reminding you were loved and send a naughty adoring kiss
1701,Ok...
1763,"Got ur mail Dileep.thank you so muchand look forward to lots of support...very less contacts here,remember one venugopal you mentioned.tomorrow if not late,i shall try to come up till there.goodnight dear."
1824,If you're thinking of lifting me one then no.
1880,I AM AT A PARTY WITH ALEX NICHOLS
